MSFT (Microsoft Corporation),188.74,2.5498
Feb 11 2020 @ 08:31 ET,Bid,191.23,Ask,191.25,Size,18x19,Vol,35844267
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
02/21/2020,MSFT200221C00205000,0.41,0.145,0.41,0.44,1513,0.338,0.0795,0.0133,1511,205.000,MSFT200221P00205000,18.1,-3.475,16.9,17.2,80,0.4546,-0.8464,0.0157,80
02/21/2020,MSFT200221C00210000,0.31,0.1,0.3,0.31,2080,0.3826,0.0549,0.0088,5860,210.000,MSFT200221P00210000,0,0,21.5,22.5,0,0.5131,-0.8775,0.0119,0
02/21/2020,MSFT200221C00215000,0.24,0.24,0.23,0.24,742,0.4251,0.04,0.0062,537,215.000,MSFT200221P00215000,28.65,28.65,25.95,27.2,6,0.5857,-0.8917,0.0095,2
02/21/2020,MSFT200221C00220000,0.2,0.2,0.17,0.19,124,0.4635,0.0297,0.0044,50,220.000,MSFT200221P00220000,33.64,33.64,31.25,32.3,3,0.6536,-0.9026,0.0079,1
02/21/2020,MSFT200221C00225000,0.14,0.14,0.13,0.15,1146,0.4998,0.0227,0.0033,1125,225.000,MSFT200221P00225000,0,0,36.3,37.45,0,0.7126,-0.9128,0.0067,0
02/21/2020,MSFT200221C00230000,0.11,0.11,0.1,0.12,721,0.5345,0.0178,0.0025,613,230.000,MSFT200221P00230000,0,0,41.3,42.3,0,0.7618,-0.9231,0.0056,0
02/21/2020,MSFT200221C00235000,0.09,0.09,0.08,0.1,174,0.5629,0.0135,0.0019,171,235.000,MSFT200221P00235000,0,0,46.4,47.1,0,0.8293,-0.926,0.005,0
02/21/2020,MSFT200221C00240000,0.08,0.08,0.07,0.1,191,0.5988,0.0115,0.0015,191,240.000,MSFT200221P00240000,0,0,51.4,52.05,0,0.8712,-0.934,0.0044,0
02/21/2020,MSFT200221C00245000,0.06,0.06,0.05,0.06,102,0.6193,0.0085,0.0011,102,245.000,MSFT200221P00245000,0,0,56.4,57,0,0.9342,-0.9357,0.004,0
02/21/2020,MSFT200221C00250000,0.04,0.04,0.04,0.05,803,0.6434,0.0067,0.0009,761,250.000,MSFT200221P00250000,0,0,61.45,62,0,0.9898,-0.9383,0.0036,0
02/28/2020,MSFT200228C00115000,70.4,0,73.55,73.95,0,0.02,0.9506,0.0016,24,115.000,MSFT200228P00115000,0,0,0,0.05,0,0.8089,-0.0023,0.0002,0
02/28/2020,MSFT200228C00120000,64.95,0,68.55,68.95,0,0.02,0.9519,0.0017,1,120.000,MSFT200228P00120000,0.04,0,0,0.05,0,0.7448,-0.0025,0.0002,35
02/28/2020,MSFT200228C00125000,38.55,0,63.55,63.95,0,0.02,0.9532,0.0019,0,125.000,MSFT200228P00125000,0.05,0,0,0.05,0,0.6699,-0.0023,0.0003,91
02/28/2020,MSFT200228C00130000,0,0,58.55,58.95,0,0.02,0.9545,0.0021,0,130.000,MSFT200228P00130000,0.03,0,0,0.05,0,0.5932,-0.002,0.0003,3
02/28/2020,MSFT200228C00135000,0,0,53.55,54,0,0.02,0.9547,0.0023,0,135.000,MSFT200228P00135000,0.11,0,0,0.05,0,0.5483,-0.0026,0.0003,42
02/28/2020,MSFT200228C00140000,48.02,3.92,48.55,48.95,1,0.02,0.9565,0.0026,5,140.000,MSFT200228P00140000,0.04,-0.005,0,0.06,8,0.5371,-0.0054,0.0007,73
02/28/2020,MSFT200228C00141000,29.5,0,47.55,48,0,0.02,0.9556,0.0027,1,141.000,MSFT200228P00141000,0.05,0.005,0,0.04,5,0.5159,-0.0048,0.0006,214
02/28/2020,MSFT200228C00142000,0,0,45.9,47,0,0.02,1,0.0028,0,142.000,MSFT200228P00142000,0.05,-0.015,0.02,0.06,2,0.5132,-0.0056,0.0007,206
02/28/2020,MSFT200228C00143000,0,0,45.55,46.4,0,0.02,0.9476,0.0031,0,143.000,MSFT200228P00143000,0.03,0,0.01,0.06,0,0.51,-0.0064,0.0008,133
02/28/2020,MSFT200228C00144000,19.72,0,44.55,45.4,0,0.02,0.9474,0.0032,2,144.000,MSFT200228P00144000,0.04,0,0.03,0.06,0,0.502,-0.0068,0.0009,115
02/28/2020,MSFT200228C00145000,43.01,3.885,43.55,44.4,1,0.02,0.9472,0.0033,67,145.000,MSFT200228P00145000,0.04,-0.01,0,0.07,1,0.4771,-0.0058,0.0008,474
02/28/2020,MSFT200228C00146000,39.2,0,42.55,43.4,0,0.02,0.947,0.0034,18,146.000,MSFT200228P00146000,0.07,0,0.03,0.08,0,0.4844,-0.0077,0.001,67
02/28/2020,MSFT200228C00147000,40.83,3.655,41.55,42.45,1,0.02,0.9456,0.0035,1,147.000,MSFT200228P00147000,0.07,0,0,0.08,0,0.4542,-0.006,0.0009,49
