"Date" "yyyymmdd" "AAPL" "MSFT" "GOOG" "CSCO" "ORCL" "INTC" "QCOM" "AMGN" "TEVA" "GILD"
2018-07-16 20180716 186.332794 102.542091 1183.859985 40.755077 47.246075 49.876259 55.163708 185.232513 23.299999 73.20755
2018-07-17 20180717 186.859833 103.558609 1198.800049 40.601643 47.675056 49.626926 55.69313 184.320007 23.129999 73.150696
2018-07-18 20180718 185.835007 102.747353 1195.880005 40.476978 47.421566 49.598152 55.551319 183.255493 23.530001 73.074905
2018-07-19 20180719 187.279556 102.043602 1186.959961 40.65918 47.226578 49.847492 56.071285 182.266937 23.059999 73.008568
2018-07-20 20180720 186.850113 103.871399 1184.910034 40.285191 47.304573 49.780365 55.409512 181.059845 22.93 73.311783
2018-07-23 20180723 187.015991 105.533028 1205.5 40.333134 47.450813 50.163948 55.853848 180.565567 23.18 73.321259
2018-07-24 20180724 188.372696 105.230026 1248.079956 40.64959 47.450813 50.039284 55.636402 181.924759 23.18 73.577095
2018-07-25 20180725 190.149063 108.328468 1263.699951 41.387974 47.723801 50.279026 56.175274 183.483582 23.700001 74.780472
2018-07-26 20180726 189.55368 107.145782 1268.329956 41.742783 47.645805 50.0201 60.108116 184.443588 23.700001 74.060349
2018-07-27 20180727 186.401138 105.249565 1238.5 40.822205 47.411816 45.7239 59.266716 182.913284 23.139999 72.781151
2018-07-30 20180730 185.356781 102.991714 1219.73999 40.438618 46.534367 45.73349 58.65221 181.192886 23.73 72.316856
2018-07-31 20180731 185.727646 103.685684 1217.26001 40.553699 46.485611 46.126663 60.590263 186.819809 23.940001 73.747665
2018-08-01 20180801 196.6689 103.881157 1220.01001 40.141354 46.163883 46.807541 60.836067 186.144958 23.870001 73.81398
2018-08-02 20180802 202.417679 105.142059 1226.150024 40.78384 46.700108 47.450054 61.233128 186.658234 21.610001 73.558144
2018-08-03 20180803 203.003281 105.601448 1223.709961 41.071526 47.255825 47.593899 61.828732 188.188538 22.17 73.842407
2018-08-06 20180806 204.057388 105.689407 1224.77002 41.522228 47.450813 47.564957 62.140709 187.827347 22.110001 73.785545
2018-08-07 20180807 202.144379 106.422485 1242.219971 41.790733 47.265575 47.950878 61.86655 190.479233 23.27 74.268806
2018-08-08 20180808 202.281052 107.018723 1245.609985 42.040062 47.17783 48.201725 61.601845 186.487137 22.57 72.875908
2018-08-09 20180809 203.871964 107.194649 1249.099976 41.982521 47.32407 48.375393 61.526207 184.367538 22.33 73.94664
2018-08-10 20180810 203.264679 106.539772 1237.609985 41.982521 47.109585 47.130787 61.280399 184.795273 22.48 72.705353
2018-08-13 20180813 204.577133 105.767616 1235.01001 41.953754 46.807346 46.744865 61.299309 185.926361 21.950001 73.122269
2018-08-14 20180814 205.439102 107.087128 1242.099976 42.193485 47.021835 46.426479 61.857098 186.068924 22.120001 73.254929
2018-08-15 20180815 205.919006 105.634979 1214.380005 42.059238 46.641605 45.789715 62.093441 185.593704 22.469999 70.914482
2018-08-16 20180816 208.935715 105.615364 1206.48999 43.305862 46.895092 45.509918 62.169067 187.986099 24.110001 71.625145
2018-08-17 20180817 213.108124 105.556488 1200.959961 43.98671 47.148579 45.442383 62.452694 188.92392 24.219999 69.095184
2018-08-20 20180820 211.031723 104.85984 1207.77002 44.322342 47.207069 44.863495 62.54723 189.057907 25.65 68.564568
2018-08-21 20180821 210.620346 103.98658 1201.619995 43.900402 47.19733 45.944077 62.915932 188.818665 25.17 69.474213
2018-08-22 20180822 210.630157 105.046257 1207.329956 44.10178 47.577553 45.394142 63.190102 189.325836 24.51 69.947983
2018-08-23 20180823 211.061111 105.53685 1205.380005 44.130558 47.733551 45.326603 63.209007 188.139221 23.799999 69.493156
2018-08-24 20180824 211.717331 106.361061 1220.650024 44.418236 48.026031 45.98267 63.483166 188.17749 23.02 69.730042
2018-08-27 20180827 213.460739 107.538483 1241.819946 44.677151 48.094284 46.648384 63.662792 190.053162 23.08 70.895538
2018-08-28 20180828 215.18457 108.186066 1231.150024 45.022369 47.421566 46.860649 65.969559 190.072281 23.48 70.999763
2018-08-29 20180829 218.397171 109.912964 1249.300049 45.530609 47.665302 47.034313 65.421219 191.153656 23.290001 71.65358
2018-08-30 20180830 220.405014 109.844284 1239.119995 45.214161 47.168083 46.542263 64.419113 191.727844 23.129999 72.288429
2018-08-31 20180831 222.951584 110.217133 1218.189941 45.808704 47.363071 46.725574 64.957977 191.211075 22.91 71.757797
2018-09-04 20180904 223.666595 109.608795 1197 45.77034 47.363071 46.27211 66.761055 188.263626 22.700001 70.393333
2018-09-05 20180905 222.20723 106.449364 1186.47998 45.329231 46.836601 46.040562 67.629189 189.2397 22.639999 70.620743
2018-09-06 20180906 218.514709 106.694664 1171.439941 45.338814 46.514862 45.596752 67.123573 187.708572 21.75 69.057289
2018-09-07 20180907 216.751694 106.174637 1164.829956 45.118263 46.612362 44.815254 67.142654 187.852112 21.5 68.431915
2018-09-10 20180910 213.842728 107.322617 1164.640015 45.137447 47.636055 44.670532 68.993408 193.785309 21.059999 68.706703
2018-09-11 20180911 219.249298 109.147644 1177.359985 45.099083 47.69455 43.348751 69.174667 190.885696 21.879999 68.441383
2018-09-12 20180912 216.526428 109.608795 1162.819946 44.964832 48.104034 43.348751 68.449631 190.914413 22.200001 70.090118
2018-09-13 20180913 221.756668 110.786232 1175.329956 45.300468 47.733551 43.966225 71.178078 194.196793 22.209999 70.777649
2018-09-14 20180914 219.239487 111.237587 1172.530029 45.453896 48.016281 43.937286 71.635994 191.947937 22.85 70.071007
2018-09-17 20180917 213.401993 110.030708 1156.050049 45.1758 47.948036 43.821507 69.871094 192.16803 23.43 69.498077
2018-09-18 20180918 213.754593 111.080582 1161.219971 45.511433 47.8018 44.47757 71.283005 193.632187 24.459999 70.347939
2018-09-19 20180919 213.881897 109.598991 1171.089966 45.338814 48.191772 44.525814 70.653366 194.4552 24.639999 70.548462
2018-09-20 20180920 215.507813 111.433823 1186.869995 45.77034 49.166725 45.538864 71.168526 196.273438 24.83 71.455627
2018-09-21 20180921 213.186508 112.110832 1166.089966 46.566269 49.819942 45.017868 70.309929 196.273438 24.360001 72.104965
2018-09-24 20180924 216.252182 112.513123 1173.369995 46.451191 49.95644 45.259071 70.195457 198.292618 23.860001 72.210014
2018-09-25 20180925 217.623398 112.297264 1184.650024 46.479961 50.424412 44.294266 69.394089 197.57486 23.27 71.608421
2018-09-26 20180926 215.889771 111.836105 1180.48999 46.422428 50.336666 44.091656 68.459167 197.928955 21.959999 72.238655
2018-09-27 20180927 220.32666 112.258026 1194.640015 46.345711 50.395168 44.26532 68.411469 199.900314 21.24 73.126724
2018-09-28 20180928 221.100433 112.218773 1193.469971 46.652576 50.268421 45.625694 68.716751 198.369156 21.540001 73.72831
2018-10-01 20181001 222.589203 113.435432 1195.310059 46.863537 50.502407 44.815254 69.260529 198.005524 21.459999 74.444489
2018-10-02 20181002 224.567673 112.9841 1200.109985 46.997787 48.971737 46.407185 69.976028 198.732819 21.809999 75.122467
2018-10-03 20181003 227.300339 113.003723 1202.949951 47.122456 48.503757 47.043957 69.298683 197.995926 21.610001 75.437599
2018-10-04 20181004 223.304199 110.668488 1168.189941 46.707321 48.230778 46.436131 69.050644 194.713577 21.84 73.107613
2018-10-05 20181005 219.680222 110.020897 1157.349976 46.465965 48.113777 45.37484 67.934471 195.239899 21.5 72.802048
2018-10-08 20181008 219.170944 108.764969 1148.969971 45.877052 48.123535 45.37484 67.667343 196.723206 21.370001 72.954834
2018-10-09 20181009 222.20723 110.148453 1138.819946 45.848091 47.645805 44.911736 66.904144 197.134689 21.23 73.088516
2018-10-10 20181010 211.913208 104.163193 1081.219971 44.052395 46.212627 43.223324 63.660549 192.54126 21.08 71.407875
2018-10-11 20181011 210.04248 103.917892 1079.319946 42.594604 45.608162 42.673386 61.332783 185.507553 20.450001 69.230705
2018-10-12 20181012 217.545044 107.509056 1110.079956 44.129635 46.193127 43.30051 61.332783 188.895218 21.379999 70.271553
2018-10-15 20181015 212.892654 105.576111 1092.25 43.125587 46.124611 42.962826 61.218288 187.172684 21.74 69.498077
2018-10-16 20181016 217.584213 108.912148 1121.280029 44.235832 47.211159 44.323204 63.078598 193.632187 22.26 72.868889
2018-10-17 20181017 216.643967 108.627602 1115.689941 44.351681 46.84898 44.274971 63.059513 194.043701 21.190001 72.210014
2018-10-18 20181018 211.5802 106.459183 1087.969971 43.888271 46.379112 43.387344 62.153221 193.995819 21.27 70.825386
2018-10-19 20181019 214.802567 106.616165 1096.459961 43.77243 46.584679 42.451477 62.353558 193.115433 21.43 69.965973
2018-10-22 20181022 216.115036 107.567917 1101.160034 44.177902 46.927288 43.425934 63.078598 189.498093 21.23 69.077904
2018-10-23 20181023 218.152298 106.066696 1103.689941 43.849659 46.976234 42.93388 63.32663 189.13446 21.24 68.438133
2018-10-24 20181024 210.669327 100.395424 1050.709961 42.546333 45.772209 40.927086 59.739594 179.794479 19.809999 64.943169
2018-10-25 20181025 215.282516 106.262939 1095.569946 43.897934 46.946865 42.750576 60.292915 180.00502 20.299999 65.525658
2018-10-26 20181026 211.854462 104.948143 1071.469971 42.720112 46.320385 44.082005 59.60603 177.976242 19.700001 66.595161
2018-10-29 20181029 207.877899 101.896637 1020.080017 42.324291 46.026726 43.802216 59.310287 180.091141 19.58 67.70285
2018-10-30 20181030 208.916122 101.7789 1036.209961 43.038708 47.543976 46.079151 60.273834 180.942825 19.76 68.791435
2018-10-31 20181031 214.361847 104.800964 1076.77002 44.168251 47.808273 45.230122 59.997173 184.493164 19.98 65.105507
2018-11-01 20181101 217.652786 103.927696 1070 44.071709 47.563557 46.522964 60.779449 184.598434 23 67.139458
2018-11-02 20181102 203.215714 104.163193 1057.790039 43.907585 47.798485 45.45203 60.416935 179.009766 22.59 66.308685
2018-11-05 20181105 197.446762 105.487793 1040.089966 44.544769 47.98447 46.281765 60.550495 181.746689 22.85 66.442383
2018-11-06 20181106 199.581985 105.693848 1055.810059 44.892323 48.20961 45.873993 60.70314 182.54097 23.09 67.17765
2018-11-07 20181107 205.634949 109.854095 1093.390015 46.243919 49.198273 47.301186 60.302452 189.115326 23.73 69.211609
2018-11-08 20181108 204.91748 109.648048 1082.400024 46.765247 49.364685 47.563316 55.379803 187.584183 23.84 68.638657
2018-11-09 20181109 200.966339 107.509056 1066.150024 45.481232 49.540882 46.70895 54.110989 184.847275 23.450001 67.970222
2018-11-12 20181112 190.84285 104.85984 1038.630005 44.042744 48.180252 45.29147 51.983559 183.316116 23.690001 67.31134
2018-11-13 20181113 188.936081 104.928528 1036.050049 43.560032 48.464123 46.009914 51.668739 183.306549 23.530001 67.721954
2018-11-14 20181114 183.599152 103.440529 1043.660034 42.797348 47.808273 45.718651 51.458858 182.16777 22.67 67.368637
2018-11-15 20181115 188.130142 105.716866 1064.709961 45.152988 49.560459 46.70895 52.842163 185.453781 22.620001 66.633354
2018-11-16 20181116 190.213806 106.712151 1061.48999 44.747505 50.089054 47.407982 53.30962 187.120895 22.25 66.079506
